source,date,URL,title,fulltext,description
Reuters,25-November-2019,https://www.reuters.com/article/us-taiwan-election-idUSKBN1XZ0AP,Taiwan ruling party says China 'enemy of democracy' after meddling allegations,"4 Min ReadTAIPEI (Reuters) - Taiwan President Tsai Ing-wen’s ruling party denounced China as an “enemy of democracy” on Monday following fresh claims of Chinese interference in the island’s politics ahead of presidential and legislative elections on Jan. 11. The allegations, reported by Australian media, were made by a Chinese asylum seeker in Australia who said he was a Chinese spy. China, which claims Taiwan as its sacred territory, to be brought under Beijing’s control by force if necessary, has branded the asylum seeker a fraud. The Chinese man, Wang Liqiang, also provided details of Chinese efforts to infiltrate universities and media in the Chinese territory of Hong Kong, which has been rocked by months of anti-government protests.  Cho Jung-tai, chairman of Tsai’s Democratic Progressive Party, which favors Taiwan’s formal independence, said there needed to be further investigations, noting that a lot of fake news came from China. “The enemy of democracy is China. At present Taiwan’s most ambitious opponent, competitor, is also China,” Cho told a news conference in Taipei. Taiwan’s presidential office cited Tsai as saying on Monday that the allegations were being probed, and that people should not reach conclusions before a complete investigation was done. Among several allegations leveled, the would-be defector said he had helped guide positive media attention toward certain Taiwanese politicians, including President Tsai’s main opponent, Han Kuo-yu of the China-friendly Kuomintang party. The Kuomintang’s Han said he would drop out of the election if he has taken any money from the Chinese Communist Party.  Speaking at a separate news conference, Kuomintang’s spokeswoman Wang Hong-wei said the issue was one of “blundering Communist espionage” that should be investigated immediately, and accused the government of seeking to use the matter to “manipulate elections”. China’s state-backed Global Times tabloid said in a Monday opinion piece that Wang Liqiang sounded like an “opportunistic liar, probably a swindler”. Three Taipei-based diplomatic and security sources, speaking on condition of anonymity, told Reuters they also doubted whether Wang was who he claimed to be, though his allegations  were plausible. “Our assessment is he is most likely not who is says he is,” said one of the sources. Separately, Taiwan is investigating two directors of a Hong Kong-listed company which was named in the Australian reports as being involved in Communist Party infiltration of Hong Kong universities and media, the Justice Ministry’s Investigation Bureau said on Monday, without giving details. Wang said he was part of an intelligence operation working within Hong Kong-listed China Innovation Investment Limited to infiltrate Hong Kong universities and media with pro-Communist Party operatives to counter the territory’s democracy movement. In a statement to the Hong Kong Stock Exchange earlier on Monday, the company said the reports were “all fictitious and forged” and that Wang had never worked there. The company said that it had received notification from Executive Director Xiang Xin and alternate Director Kung Ching that they had been about to leave Taipei Taoyuan Airport when Taiwanese investigators requested their cooperation in an “investigation on the matter of the news reports”. “In fact, Mr. Xiang and Mrs. Kung knew nothing about the issues exposed in the news reports,” the statement said. It said both directors had engaged Taiwan lawyers to provide assistance. It was not immediately clear who their lawyers were.  The company declined to provide further details beyond what was in the statement. Reporting by Ben Blanchard and Yimou Lee; editing by Simon Cameron-MooreAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.","Taiwan President Tsai Ing-wen's ruling party denounced China as an ""enemy of democracy"" on Monday following fresh claims of Chinese interference in the island's politics ahead of presidential and legislative elections on Jan. 11."
Reuters,27-November-2019,https://www.reuters.com/article/us-taiwan-election-banking-idUSKBN1Y115G,Taiwan asks banks to ensure enough dollars in case of election nerves,"3 Min ReadTAIPEI (Reuters) - Taiwan’s central bank has instructed two major foreign exchange banks on the island to bring in more U.S. dollars before the end of the year to prepare for increased demand in case of political uncertainty in January elections, two sources told Reuters. Taiwan holds presidential and legislative votes on Jan. 11. Opinion polls put President Tsai Ing-wen of the pro-independence Democratic Progressive Party far ahead of her main opponent Han Kuo-yu from the Kuomintang party, which favors close ties with China. China claims Taiwan as its sacred territory to be brought under Beijing’s control by force if necessary, and pays close attention to elections on the island. Beijing has in the past menaced Taiwan with war games to try and influence people not to vote for candidates viewed as pro-Taiwan independence, though such efforts have tended to backfire. Two sources with direct knowledge of the situation told Reuters that Taiwan’s central bank has instructed Mega Commercial Bank and Bank of Taiwan to import physical dollar bills - $30 million for Mega and $25 million for Bank of Taiwan. The two banks declined to comment.  A Taiwan central bank official said it was normal to ask banks to ensure they had ample U.S. dollars ahead of elections. The sources added that the import volume was less than the last presidential election in 2016, as the central bank assessed that the banks’ dollar cash reserves were still abundant. Taiwan usually stocks sufficient dollars ahead of elections to ensure it can meet demand if there is tension or political uncertainty with China, in case Taiwanese have to leave the island fast or the currency plunges in the event of a crisis. Ahead of the 1996 elections, when China fired missiles into the Taiwan Strait, some Taiwanese rushed to buy gold. China sailed an aircraft carrier group through the Taiwan Strait earlier this month, a move Taiwan denounced as attempted intimidation. China has made little secret of its dislike of Tsai. Taiwan has a large current account surplus and substantial foreign exchange reserves, which stood at $472.48 billion at the end of October, the sixth largest in the world.  Reporting by Liang-sa Loh; Writing by Ben Blanchard; Editing by Andrew CawthorneAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.","Taiwan's central bank has instructed two major foreign exchange banks on the island to bring in more U.S. dollars before the end of the year to prepare for increased demand in case of political uncertainty in January elections, two sources told Reuters."
Reuters,28-November-2019,https://www.reuters.com/article/us-taiwan-election-china-idUSKBN1Y20CY,"China holds out carrot ahead of Taiwan election, but few convinced","4 Min ReadTAIPEI (Reuters) - China is stepping up efforts to be nice to Taiwan ahead of key elections on Jan. 11, offering better treatment to Taiwanese in China and urging the democratic island to “come home”, but many there only see Beijing wielding a threatening stick. China denies interfering in elections in Taiwan, which Beijing claims as sacred territory, but it traditionally tries various means to influence their result, hoping politicians with a more positive view on China ties get into office. These can range from military intimidation - China fired missiles into the Taiwan Strait before the 1996 election - to what Taiwan’s government calls Beijing’s manipulation of China-friendly Taiwanese media. China also wants to ensure that Taiwan’s huge business community in China is happy, hoping they will go home to vote for China-friendly politicians. This month, China unveiled 26 measures to further open its economy to investors from Taiwan, and said Taiwanese abroad could turn to Chinese embassies for consular help. Dovetailing with those steps has been an unusual Chinese effort at soft power to speak directly to people in Taiwan, a gentler approach after some hostile moves this year, such as a threat of force by President Xi Jinping in January. Commenting on the 26 measures, Hai Xia, one of the highest-profile news presenters on Chinese state television, appealed for Taiwan to return “home”. “Taiwan’s fate is connected with the motherland. Wan Wan, come home,” she said on air, employing a diminutive to refer to Taiwan and project a friendly message. China has not only been using Mandarin, the official tongue on both sides of the Taiwan Strait, but has also deployed Hokkien and Hakka, two languages spoken on the island but whose formal use is not encouraged in China. On Wednesday, it introduced Zhu Fenglian, a new spokeswoman for its policy-making Taiwan Affairs Office, who voiced warm greetings in both languages at her first news conference.  “I am a Hakka from Guangdong, I’d like first here to say hello to folks in Taiwan,” she said, referring to the southern Chinese province while speaking in Hokkien, generally known in Taiwan as Taiwanese.  Many politicians in Taiwan, a rambunctious democracy, have responded vigorously to China’s gestures. Beijing should focus on “giving its own people a bit more freedom”, Taiwan Foreign Minister Joseph Wu said on Twitter in response to China’s 26 measures, writing in the simplified Chinese characters used in China and not Taiwan.         The Chinese state television comment on “coming home” also triggered a backlash. “Thank you for your concern; the people of Taiwan are already in their own home,” independent legislator Hung Tzu-yung wrote on her Facebook page.  China was the “enemy of democracy”, Cho Jung-tai, chairman of the ruling pro-independence Democratic Progressive Party (DPP), which has repeatedly warned of the threat China poses, said this week.  Even Taiwan’s main opposition party, the Kuomintang, which favours closer ties, has been cautious of being too closely associated with Beijing in an election year. Commenting on the new measures for Taiwanese in China, the Kuomintang welcomed their beneficial content.  “But if any of these actions belittle the sovereignty of the Republic of China, it must be firmly opposed,” it warned, using Taiwan’s official name. “The Kuomintang hopes both sides of the Taiwan Strait will give priority to each other’s livelihoods and not hurt the rights and interests of the people on both sides for momentary election considerations.” (This story corrects party affiliation of legislator in paragraph 15, removes reference to New Power Party) Reporting by Ben Blanchard; Additional reporting by Yimou Lee; Editing by Clarence FernandezAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.","China is stepping up efforts to be nice to Taiwan ahead of key elections on Jan. 11, offering better treatment to Taiwanese in China and urging the democratic island to ""come home"", but many there only see Beijing wielding a threatening stick."
Reuters,13-November-2019,https://www.reuters.com/article/us-china-taiwan-idUSKBN1XN0C9,China says Taiwan scaremongering with attack talk,"3 Min ReadBEIJING (Reuters) - China said on Wednesday Taiwan was scaremongering with talk of a possible Chinese attack, after Taiwan’s foreign minister said Beijing could resort to military conflict to divert domestic pressure if an economic slowdown bites. As Taiwan’s presidential elections approach in January, China has stepped up a campaign to “reunify” with what it considers a wayward province, wooing away the island’s few diplomatic allies and flying regular bomber patrols around it. And President Xi Jinping said in January that China reserves the right to use force to bring Taiwan under its control but will strive to achieve peaceful “reunification”. Taiwan Foreign Minister Joseph Wu told Reuters last week that China could attack the democratic and self-ruled island if  any threat to China’s ruling Communist Party arises from social pressures that could result from any slowdown in the world’s second largest economy amid a trade war with the United States. Ma Xiaoguang, spokesman for China’s Taiwan Affairs Office, told a regular news conference in Beijing that Wu’s comments were “complete nonsense and absolute rubbish”. “Recently, in order to seek benefit for the elections, they have been weaving various lies to intimidate, threaten and mislead the people of Taiwan,” he added.  “I think compatriots on both sides of the Taiwan Strait must be highly vigilant and not easily misled.” China’s economy is fine, Ma said. “Under the current complicated economic situation, the mainland’s economic development landscape is still good, and this is not something the likes of Joseph Wu can talk down.” China’s economic growth is expected to slow to a near 30-year low this year, putting the onus on Beijing to step up stimulus needed to sustain growth. Ma said China wants “peaceful reunification”, while Taiwan’s ruling Democratic Progressive Party is the real greatest threat to peace, pushing independence and inciting enmity. Taiwan was trying to “cover up” the island’s own economic problems, Ma added.  Taiwan’s economy grew at its fastest pace in more than a year in the third quarter, as a rebound in demand for tech products for the year-end peak season boosted manufacturers and “offset” the impact of trade disputes. Ma separately confirmed that three people from Taiwan who had been reported missing in China were being investigated on suspicion of harming national security. He gave no details.     Reporting by Ben Blanchard and Gao Liangping; Editing by Simon Cameron-MooreAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.","China said on Wednesday Taiwan was scaremongering with talk of a possible Chinese attack, after Taiwan's foreign minister said Beijing could resort to military conflict to divert domestic pressure if an economic slowdown bites."
Reuters,24-November-2019,https://www.reuters.com/article/us-taiwan-election-idUSKBN1XY01J,China meddling allegations roil Taiwan election campaign,"4 Min ReadTAIPEI (Reuters) - Election campaigning in Taiwan was hit at the weekend by new allegations that Beijing had tried to meddle in the island’s politics. A Chinese defector, named as Wang “William” Liqiang by Australian media, gave a sworn statement to the Australian Security Intelligence Organization, or ASIO, about Beijing’s efforts to influence politics in Taiwan, Hong Kong and Australia. In particular, Wang said he helped guide positive media attention toward certain Taiwanese politicians, including President Tsai Ing-wen’s main opponent, Han Kuo-yu of the Kuomintang party. Han said that he would drop out if it was shown that he had taken money from China’s Communist Party. China said in a statement on Saturday that Wang is a convicted fraudster who held fake travel documents. Taiwan, claimed by China as its territory to be brought under Beijing’s control by force if needed, is already on high alert for Chinese attempts to sway presidential and legislative elections scheduled for Jan. 11, whether through disinformation campaigns or military intimidation. “Taiwan was the most important work of ours: the infiltration into media, temples, and grassroots organizations,” Wang said through a translator in a televised interview on Australia’s Channel 9 “60 Minutes” program on Sunday. The details about what China is suspected of doing in Taiwan quickly provoked strong reaction from both Han and his party and Tsai and her ruling Democratic Progressive Party (DPP), which supports Taiwan’s formal independence, a red line for Beijing. Speaking on a campaign stop in eastern Taiwan on Saturday, Tsai said China’s “shadow” was becoming more and more obvious. Taiwan must not let China destroy its democratic values, she added. Deputy Foreign Minister Szu-chien Hsu said in an interview with Australia’s Channel 9 on Sunday that Taiwan was facing “multiple” threats from China. “Xi Jinping is to disrupt us and undermine our credibility and decrease our citizens’ trust in government,” he said.  DPP Chairman Cho Jung-tai, writing on his Facebook page, said the Kuomintang was teaming up with the Chinese Communist Party against Taiwan and urged people to use their vote wisely. “Will one ballot decide whether Taiwan wants to go into totalitarian China with the Kuomintang?” Cho wrote. The Kuomintang called the reports in the Australian media “quite sensational”, adding it hoped the government did not use this to “play the fear of the communist’s card”. Han told reporters he had doubts about what the defector was claiming, asking how the Kuomintang lost the last presidential election in 2016 if China really was swaying elections. If he had taken money from China’s Communist Party, Han said he resign from his post as mayor of the southern city of Kaohsiung, to which he was elected a year ago.  “In this year’s presidential election, if Han Kuo-yu has taken even one cent, he will immediately drop out of the race,” Han told reporters, adding he needed more information. “Can Mr. Wang please come directly to Taiwan, and not hide overseas.” China’s Taiwan Affairs Office said a statement that Beijing was not intervening in Taiwan’s election, and called accusations to the contrary “nonsense”. Taiwan’s government says it is investigating Wang’s claims, and is asking Australia to provide further information.    Chiang Kai-shek and his Kuomintang fled to Taiwan in 1949 after losing a civil war with the Chinese Communist Party.  While no peace treaty has ever been signed, Kuomintang delegations these days visit China regularly. Han met the head of China’s Taiwan Affairs Office in the southern Chinese city of Shenzhen in March. (Corrects paragraph five to say held, not traveled on, fake documents.) Writing by Ben Blanchard; Additional reporting by Lidia Kelly in Melbourne; editing by Jane WardellAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.","New allegations Beijing tried to infiltrate Taiwan's democracy roiled election campaigning on the island this weekend, with President Tsai Ing-wen's main opponent saying would drop out if he had taken money from China's Communist Party."
Reuters,04-November-2019,https://www.reuters.com/article/us-china-taiwan-idUSKBN1XE0YV,"China offers more access for Taiwan firms, Taiwan warns of a trap","3 Min ReadBEIJING/TAIPEI (Reuters) - China unveiled measures on Monday to further open its markets to firms from self-ruled Taiwan, including capital raising, as Taiwan warned its people not to be taken in by moves at “enticement” ahead of a January presidential election. China claims democratic Taiwan as its own and has stepped up pressure on the strategically located island since President Tsai Ing-wen assumed office in 2016, fearing she wishes to push for its formal independence, a red line for Beijing. As well as flying regular patrols of air force jets around Taiwan and forcing foreign companies to refer to Taiwan as part of China on their websites, Beijing has targeted Taiwanese firms in what it says are steps to make their life easier in China. Taiwan says this has political aims. In the latest measures, China will allow Taiwan firms to invest in, or participate in, projects ranging from 5G to civil aviation, and allow Taiwan companies to issue bonds to raise capital on the inter-bank market, China’s Taiwan Affairs Office said in a statement. China will also make it easier for Taiwanese to live and work in the country and offer Taiwan citizens abroad the right to seek consular help from Chinese embassies, which in practice China has already been doing as it considers them Chinese citizens. Responding, Taiwan’s Mainland Affairs Council said China was doing this to try to push its agenda of “promoting reunification, enticing Taiwan, and trying to split apart Taiwan internally, showing they are trying to influence Taiwan’s elections”. Those who go to China need to be aware of the risks and the “differences in the system”, the council added.  Taiwan companies have flocked to China since the two sides begun a detente in the 1980s, attracted by far lower costs and a common language and culture. The latest steps follow on from rules issued last year to make life easier for Taiwan people and companies in China, which says it genuinely wants to help them.  Taiwan fears China is trying to “absorb Taiwan’s resources” and foster pro-China sentiment on the island, ultimately getting people to vote for China-friendly parties. China has further pressured Tsai, who is up for re-election in January, her by whittling away Taiwan’s last remaining diplomatic allies, most recently the Solomon Islands and Kiribati. Tsai says she will not be bullied by Beijing and will defend Taiwan’s security and democratic way of life. Reporting by Ben Blanchard and Yimou LeeAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.","China unveiled measures on Monday to further open its markets to firms from self-ruled Taiwan, including capital raising, as Taiwan warned its people not to be taken in by moves at ""enticement"" ahead of a January presidential election."
Reuters,28-November-2019,https://www.reuters.com/article/us-taiwan-china-idUSKBN1Y219R,"Taiwan pushes anti-infiltration bill, opposition cries foul","3 Min ReadTAIPEI (Reuters) - Taiwan needs to have legal means to prevent China interfering in its politics, a government spokesman said on Thursday about a anti-infiltration law that is being drafted, as the main opposition said it feared being “painted red” by the law. The legislation is part of a years-long effort to combat what many in Taiwan see as Chinese efforts to influence politics and the democratic process on the island. China claims Taiwan as its territory, to be brought under Beijing’s control by force if necessary. The ruling Democratic Progressive Party has begun a renewed push for the legislation this week, ahead of presidential and parliamentary elections on Jan. 11. They say there is extra urgency following allegations from a Chinese asylum seeker in Australia, Wang Liqiang, who told media there he was a spy who had worked to spread Communist Party influence in Hong Kong and meddle in Taiwan politics. Chiu Chui-cheng, deputy head of Taiwan’s Mainland Affairs Council, said China’s infiltration and interference in Taiwan was “extremely severe”. Other democracies take legal steps to stop such activities, and Taiwan must do so too, especially due to “China’s unwillingness to give up on annexing Taiwan, while using Taiwan’s free and open environment to create division within society”, Chiu told reporters. “We are right at the frontline of external threats and thus have an even more urgent need to strengthen the legal system to safeguard national security and the future of freedom and democracy.” China has denied meddling in Taiwan, and says supposed spy Wang is a convicted fraudster who has made “absurd” claims. Taiwan’s main opposition party the Kuomintang, which favors closer ties with China, has expressed serious doubts about Wang’s allegations, criticizing the DPP for using the accusations to seek electoral gain and smear their presidential candidate, Han Kuo-yu. Speaking earlier on Thursday at a parliamentarian hearing regarding the law initiative, Charles Chen, who is running as a Kuomintang legislator, called the planned legislation a “political tool” for the administration of President Tsai Ing-wen to gain votes. “Are they using the case of Wang Liqiang to rush the legislation, and paint the Kuomintang red?” he said, referring to the color of the Chinese Communist Party. “The legislation could easily become a political tool, especially during the elections,” Chen added. Kuomintang presidential hopeful Han said this week he would sue Wang if he ever came to Taiwan.  Reporting by Yimou Lee and Ben Blanchard; Additional reporting by Fabian HamacherAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.","Taiwan needs to have legal means to prevent China interfering in its politics, a government spokesman said on Thursday about a anti-infiltration law that is being drafted, as the main opposition said it feared being ""painted red"" by the law."
Telegraph.co.uk,18-November-2019,https://www.telegraph.co.uk/news/2019/11/18/taiwan-accuses-china-intimidation-ahead-january-poll/,Taiwan accuses China of intimidation ahead of January poll,"Taiwan has accused China of attempting to intimidate voters ahead of its 2020 presidential election after Beijing sailed an aircraft carrier through the Taiwan Strait on Sunday.The still unnamed aircraft carrier – the first entirely domestically built by China – and accompanying vessels were spotted sailing southbound through the strait, a heavily trafficked strategic waterway separating China from the island of 23 million, said Taiwan’s defence ministry.The ministry said ships and jets scrambled to monitor the fleet, which stayed on the Chinese side of the waterway. It asked its citizens not to worry and revealed that US and Japanese ships were also following the Chinese ships.The voyage coincided with an announcement by Tsai Ing-wen, the Taiwanese president, naming her running mate, William Lai for the January poll, prompting Taipei to immediately hit back at Beijing’s perceived motivations.“Just as @iingwen names her running mate & the campaign shifts into high gear, #PLA sends its new 002 aircraft carrier battle group into the #TaiwanStrait. #PRC intends to intervene in #Taiwan's elections. Voters won't be intimidated! They'll say NO to #Chinaat the ballot box,” said Joseph Wu, Taiwan’s foreign minister on Twitter.China has ambitions to annex Taiwan, which functions like any other nation with its own currency, military, government and democratic elections.Beijing has taken a hostile stance towards President Tsai since she came to power in 2016 for her refusal to agree that Taiwan and China are part of the same country, and is suspicious of her close relations with the US.  Taipei has accused Beijing multiple times in the past few months of trying to sway the election – by poaching from its small group of remaining formal diplomatic allies and by switching off lucrative income from Chinese tourists.China’s display came just a few days after the USS Chancellorsville, a guided missile cruiser, made a similar transit, in a move that likely irked Beijing, which views such voyages as meddling in its affairs with Taiwan.© Telegraph Media Group Limited 2019We rely on advertising to help fund our award-winning journalism.We urge you to turn off your ad blocker for The Telegraph website so that you can continue to access our quality content in the future.Thank you for your support.Need help?Visit our adblocking instructions
page.",Taiwan has accused China of attempting to intimidate voters ahead of its 2020 presidential election after Beijing sailed an aircraft carrier through the Taiwan Strait on Sunday.
Reuters,22-November-2019,https://www.reuters.com/article/us-taiwan-usa-china-idUSKBN1XW0A0,U.S. says concerned about China's attempts to influence Taiwan's presidential vote,"4 Min ReadTAIPEI (Reuters) - The United States is concerned about China’s attempts to influence Taiwan’s presidential and parliamentary elections, the top U.S. official in Taiwan said on Friday, as China stepped up pressure on the self-ruled island ahead of the vote in January.       The comment came days after Taiwan denounced China for trying to interfere in its democratic process ahead of the Jan. 11 polls, including sailing an aircraft carrier group through the Taiwan Strait on Sunday. “We are aware that China is attempting to apply pressure through various means on Taiwan. Certainly, these attempts to influence Taiwan’s democratic process are of concern,” said Brent Christensen, the de facto U.S. ambassador to Taiwan.  “We believe that malign actors are using disinformation campaigns to make people lose faith in democratic institutions,” he told reporters in Taipei.  Beijing has in recent months stepped up efforts to “reunify” what it considers a wayward province, flying regular bomber patrols around it and seeking to isolate it diplomatically. The United States, like most countries, has no diplomatic relations with Taiwan, but is bound by law to help provide the island with the means to defend itself. It is democratic Taiwan’s strongest backer on the international stage. Christensen said any effort to determine the future of Taiwan by other than peaceful means, including boycotts or embargoes, was of “grave concern” to the United States. Taiwan and the United States have very close ties, he added, noting this year’s $10 billion in U.S. arms sales to the island. “We have, I believe, a strong relationship in security matters that we anticipate will only grow stronger.” Speaking later in the day, Taiwan Foreign Minister Joseph Wu said China’s military threat was growing. “China’s military preparation against Taiwan has not been slowing down. In fact, it’s been intensifying,” he told reporters.        President Tsai Ing-wen of the pro-independence Democratic Progressive Party is leading in the polls, ahead of her main rival, Han Kuo-yu of the China-friendly Kuomintang party. Tsai’s government has repeatedly warned of Beijing’s campaign to influence the vote, including snatching more of Taiwan’s few remaining diplomatic allies and a “warfare” of disinformation to mislead voters.   Chinese President Xi Jinping said in January that China reserved the right to use force to bring Taiwan under its control but would strive to achieve peaceful “reunification”. [nL3N1Z20JT] Beijing suspects Tsai of pushing for the island’s formal independence, which Xi has warned would lead to a “grave disaster”.  China described the carrier sailing as routine and not aimed at anyone in particular, dismissing Taiwan’s complaints. Taiwan has lost seven diplomatic allies to China since Tsai took office in 2016, leaving 15 nations that recognize the island.   China has sent about 2,000 bomber patrols a year to the narrow Taiwan Strait separating the two sides, the island’s defense minister, Yen Teh-fa, told parliament last week.  Reporting by Ben Blanchard; additional reporting by Yimou Lee; Editing by Gerry Doyle and Simon Cameron-MooreAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.","The United States is concerned about China's attempts to influence Taiwan's upcoming presidential election, the top U.S. official in Taiwan said on Friday, as China stepped up pressure on the self-ruled island ahead of the vote in January."
Reuters,26-November-2019,https://www.reuters.com/article/us-taiwan-election-idUSKBN1Y000V,Taiwan probes two executives for security law breaches over China meddling claims,"5 Min ReadTAIPEI (Reuters) - Taiwan is investigating two executives at a Hong Kong-listed company on suspicion of violating the country’s National Security Act, prosecutors said on Tuesday, after they were named in a report about Chinese meddling. The company, China Innovation Investment Ltd, said on Monday executive director Xiang Xin and alternate director Kung Ching had been stopped at Taipei’s main airport and asked to cooperate in a probe into Australian media reports about Chinese interference in Hong Kong and Taiwan. The allegations were made by a Chinese asylum seeker in Australia, Wang Liqiang, who said he was a Chinese spy. China says the man is a convicted fraudster. Wang said he was part of an intelligence operation working within China Innovation Investment to infiltrate Hong Kong universities and media with pro-Communist Party operatives to counter the territory’s democracy movement. He also gave details about Chinese efforts to meddle in Taiwan’s political system and elections.  The company said the reports were “fictitious and forged” and that Wang had never been an employee. Hong Kong has been rocked by months of anti-government protests. Xiang and Kung were referred to the Taipei District Prosecutors Office on Monday night for further investigation on suspicion of violating the National Security Act, office spokeswoman Chen Yu-ping said by telephone. They have also been ordered not to leave Taiwan, she said. The pair was being probed on suspicion of “developing an organization” for foreign forces including the Chinese government, which carries a maximum sentence of five years in prison, Chen said.  “The two litigants were very cooperative ... We are looking into the purpose of their visit,” she said, adding that the pair made frequent travels to Taiwan.  The company declined comment on Tuesday, and referred to its corporate filings. It said on Monday the two executives were staying Taiwan to cooperate with the investigation and had retained Taiwan lawyers, but it was not immediately clear who they were. Xiang, a science and technology graduate from Nanjing University of Science and Technology, is the chairman of another Hong Kong-listed company, China Trends Holdings Ltd.    China Trends Holdings and China Innovation Investment in 2010 signed an MoU with a company run by major state-backed Chinese defense manufacturer China North Industries Group Corporation - also known as Norinco - to build parts for electric cars, corporate filings show. Taiwan’s Investment Commission, which is under the Ministry of Economic Affairs, said on Monday the two executives had applied in December 2016 to invest T$100 million ($3.27 million) to set up a real estate company. However, Taiwan rejected the application in April 2017 due to national security considerations, it said. Chang Min-pin, the commission’s executive secretary, told Reuters that Taiwan’s defense ministry advised against the investment proposal, citing concerns over Xiang’s Norinco links. Kung’s former post with Beijing-based China Defence Science and Technology Information Centre also raised concerns, he said. China Innovation Investment’s company profile on the Hong Kong Stock Exchange website says it is a Kong-based investment holding company “principally engaged in the investment in dual usage of military and civil sectors”.  “The company’s investments mainly include military and civil dual-used charge storage batteries, new models of lighting products, eco-equipment materials and energy-saving media terminals,” it added.  The company’s Hong Kong-listed stock price fell more than 6% on Tuesday. It was not clear if the company has operations in Taiwan.     Taiwan, claimed by China as its sacred territory, is already on high alert for Chinese attempts at disinformation and intimidation ahead of Jan. 11 elections for the presidency and legislature. President Tsai Ing-wen, who’s seeking re-election in January, urged citizens in August to stay on alert for Chinese-financed media “infiltration” after a Reuters report of a Beijing-backed media campaign to purchase press coverage on the island. Beijing has been cultivating networks of supporters in Taiwan and ramping up campaigns to lure Taiwanese with lucrative business opportunities ahead of the key elections, Reuters reported in June. Reporting by Ben Blanchard and Yimou Lee; Additional reporting by Jeanny Kao, and Clare Jim in Hong Kong; Editing by Paul Tait and Richard PullinAll quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.© 2019 Reuters. All Rights Reserved.","Taiwan is investigating two executives at a Hong Kong-listed company on suspicion of violating the National Security Act, Taiwan's official Central News Agency said on Tuesday, after they were named in a report about Chinese meddling."
